stringId	preferredName
ENSP00000318944	TRAF7
ENSP00000341737	NECAP1
ENSP00000361021	PTEN
ENSP00000371420	GPNMB
ENSP00000361465	POLR1C
ENSP00000276072	TAF1
ENSP00000359645	RBMX
ENSP00000346316	HIST1H4I
ENSP00000350941	SRC
ENSP00000250244	AP1M2
ENSP00000300692	CD3D
ENSP00000451261	UBE2J1
ENSP00000319984	CHRM2
ENSP00000361949	PABPC4
ENSP00000265171	EGF
ENSP00000261304	GALC
ENSP00000363763	EPHB2
ENSP00000274400	GTF2H2
ENSP00000296277	RPL39L
ENSP00000267012	BIN2
ENSP00000385751	MARK2
ENSP00000258052	SMPD2
ENSP00000331602	PRKCD
ENSP00000364252	PLA2G2A
ENSP00000335333	PIP5K1C
ENSP00000361998	TAF7L
ENSP00000383199	NEDD4L
ENSP00000250405	BCL2L2
ENSP00000387362	UBE4A
ENSP00000366974	HIST1H4F
ENSP00000251630	PDGFRL
ENSP00000326804	CUL1
ENSP00000344871	MYO1F
ENSP00000401371	TIA1
ENSP00000381339	GNAT3
ENSP00000264748	FGFRL1
ENSP00000326379	VWA9
ENSP00000320869	TRIM41
ENSP00000393847	PLA2G10
ENSP00000355217	SNX6
ENSP00000296438	FBXW12
ENSP00000392262	PPP5D1
ENSP00000215587	POLR2E
ENSP00000247207	HSPA2
ENSP00000288199	RNF111
ENSP00000334564	POLR3C
ENSP00000434466	INTS4
ENSP00000309117	RBFOX1
ENSP00000362555	RNF19B
ENSP00000369647	AVP
ENSP00000368927	EIF1AX
ENSP00000355237	CDC42BPB
ENSP00000381064	INTS10
ENSP00000270142	SOD1
ENSP00000447537	BLOC1S1
ENSP00000341289	TUBB4B
ENSP00000338157	ZBTB16
ENSP00000217133	TUBB1
ENSP00000279387	PPP4C
ENSP00000349437	IGF2R
ENSP00000263974	TAF12
ENSP00000261207	PPP1R12A
ENSP00000263969	MFN1
ENSP00000255040	APCS
ENSP00000054666	VAMP3
ENSP00000369081	TXNDC5
ENSP00000353741	ETF1
ENSP00000309591	PRKACA
ENSP00000259271	GAD2
ENSP00000321239	RCHY1
ENSP00000352734	RNF217
ENSP00000262741	PIK3R3
ENSP00000352442	HIST1H2BM
ENSP00000299853	POLR3E
ENSP00000000412	M6PR
ENSP00000365012	HCK
ENSP00000281187	VPS26B
ENSP00000241453	FLT3
ENSP00000377527	PC
ENSP00000369757	RPS6
ENSP00000360329	TTC4
ENSP00000354558	MTOR
ENSP00000347858	XIAP
ENSP00000364801	HSPA1B
ENSP00000363397	UGCG
ENSP00000259457	PSMB7
ENSP00000332604	EIF3C
ENSP00000328327	ASB7
ENSP00000429824	CLINT1
ENSP00000322419	RPLP2
ENSP00000320236	TIMM22
ENSP00000471914	P85B
ENSP00000363216	OGDHL
ENSP00000376436	ETS1
ENSP00000273398	ATP6V1A
ENSP00000221700	CYP4F2
ENSP00000363046	IPMK
ENSP00000355261	SMG5
ENSP00000269142	TAF4B
ENSP00000296525	ASB5
ENSP00000290597	ALDH4A1
ENSP00000452454	GTF2A1
ENSP00000274255	SKP2
ENSP00000355315	RPL39
ENSP00000358158	HIST2H2AA3
ENSP00000265094	FBXW11
ENSP00000364073	EIF4G3
ENSP00000357863	GTF3C6
ENSP00000384597	GTF2A1L
ENSP00000265100	RPL26L1
ENSP00000260766	PLCE1
ENSP00000273064	RQCD1
ENSP00000351933	KLHL9
ENSP00000369981	SH3GL2
ENSP00000216190	EIF3D
ENSP00000370719	ITSN1
ENSP00000347733	TRRAP
ENSP00000388107	UBA52
ENSP00000290650	UBR1
ENSP00000255389	PEMT
ENSP00000361446	POLR3A
